"filename", "language", "JSON", "JSON with Comments", "TypeScript", "YAML", "HTML", "SCSS", "Vue", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\DELL\Desktop\bilibili\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 12, 3, 58
"c:\Users\DELL\Desktop\bilibili\.stylelintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 6, 1, 53
"c:\Users\DELL\Desktop\bilibili\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 8, 19
"c:\Users\DELL\Desktop\bilibili\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\DELL\Desktop\bilibili\package.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"c:\Users\DELL\Desktop\bilibili\pnpm-lock.yaml", "YAML", 0, 0, 0, 3248, 0, 0, 0, 0, 0, 0, 0, 485, 3733
"c:\Users\DELL\Desktop\bilibili\scripts\preinstall.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\DELL\Desktop\bilibili\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"c:\Users\DELL\Desktop\bilibili\src\api\collector\index.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 0, 8
"c:\Users\DELL\Desktop\bilibili\src\api\collector\type.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
"c:\Users\DELL\Desktop\bilibili\src\api\dynamic\index.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 28, 0, 60
"c:\Users\DELL\Desktop\bilibili\src\api\dynamic\type.ts", "TypeScript", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122
"c:\Users\DELL\Desktop\bilibili\src\api\user\index.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 26, 1, 57
"c:\Users\DELL\Desktop\bilibili\src\api\user\type.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 2, 89
"c:\Users\DELL\Desktop\bilibili\src\api\video\index.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 8, 0, 20
"c:\Users\DELL\Desktop\bilibili\src\api\video\type.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\DELL\Desktop\bilibili\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\DELL\Desktop\bilibili\src\components\outerVideo\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 9, 92
"c:\Users\DELL\Desktop\bilibili\src\layout\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\DELL\Desktop\bilibili\src\layout\main\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\DELL\Desktop\bilibili\src\layout\tabbar\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 744, 0, 0, 0, 0, 45, 789
"c:\Users\DELL\Desktop\bilibili\src\main.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 1, 2, 19
"c:\Users\DELL\Desktop\bilibili\src\permission.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 18, 1, 54
"c:\Users\DELL\Desktop\bilibili\src\router\index.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\DELL\Desktop\bilibili\src\router\route.ts", "TypeScript", 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 1, 0, 112
"c:\Users\DELL\Desktop\bilibili\src\store\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\DELL\Desktop\bilibili\src\store\modules\style.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\DELL\Desktop\bilibili\src\store\modules\types\index.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\DELL\Desktop\bilibili\src\store\modules\user.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 10, 0, 120
"c:\Users\DELL\Desktop\bilibili\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\DELL\Desktop\bilibili\src\styles\reset.scss", "SCSS", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 24, 194
"c:\Users\DELL\Desktop\bilibili\src\utils\request.ts", "TypeScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 4, 1, 47
"c:\Users\DELL\Desktop\bilibili\src\views\404\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\DELL\Desktop\bilibili\src\views\account\blacklist\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 8, 105
"c:\Users\DELL\Desktop\bilibili\src\views\account\coin\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 70
"c:\Users\DELL\Desktop\bilibili\src\views\account\face\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\DELL\Desktop\bilibili\src\views\account\face\upload\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 11, 133
"c:\Users\DELL\Desktop\bilibili\src\views\account\face\vip\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 4, 50
"c:\Users\DELL\Desktop\bilibili\src\views\account\home\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 19, 239
"c:\Users\DELL\Desktop\bilibili\src\views\account\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 9, 136
"c:\Users\DELL\Desktop\bilibili\src\views\account\setting\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 3, 87
"c:\Users\DELL\Desktop\bilibili\src\views\dynamic\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 1750, 0, 0, 0, 0, 103, 1853
"c:\Users\DELL\Desktop\bilibili\src\views\findPassword\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 12, 183
