Date : 2024-03-06 16:39:14
Directory : c:\Users\DELL\Desktop\bilibili
Total : 57 files,  10436 codes, 126 comments, 975 blanks, all 11537 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Vue                |         26 |      6,078 |          1 |        434 |      6,513 |
| YAML               |          1 |      3,248 |          0 |        485 |      3,733 |
| TypeScript         |         19 |        726 |        104 |         11 |        841 |
| SCSS               |          2 |        171 |          1 |         26 |        198 |
| JavaScript         |          3 |         96 |         18 |          4 |        118 |
| JSON               |          2 |         66 |          0 |          2 |         68 |
| JSON with Comments |          1 |         26 |          2 |          4 |         32 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Markdown           |          1 |         11 |          0 |          8 |         19 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                      |         57 |     10,436 |        126 |        975 |     11,537 |
| . (Files)                                                              |          9 |      3,473 |         25 |        506 |      4,004 |
| scripts                                                                |          1 |          7 |          0 |          0 |          7 |
| src                                                                    |         47 |      6,956 |        101 |        469 |      7,526 |
| src (Files)                                                            |          4 |         89 |         20 |          7 |        116 |
| src\api                                                                |          8 |        333 |         64 |          3 |        400 |
| src\api\collector                                                      |          2 |         25 |          2 |          0 |         27 |
| src\api\dynamic                                                        |          2 |        154 |         28 |          0 |        182 |
| src\api\user                                                           |          2 |        117 |         26 |          3 |        146 |
| src\api\video                                                          |          2 |         37 |          8 |          0 |         45 |
| src\assets                                                             |          1 |          1 |          0 |          0 |          1 |
| src\components                                                         |          1 |         83 |          0 |          9 |         92 |
| src\components\outerVideo                                              |          1 |         83 |          0 |          9 |         92 |
| src\layout                                                             |          3 |        785 |          0 |         53 |        838 |
| src\layout (Files)                                                     |          1 |         32 |          0 |          4 |         36 |
| src\layout\main                                                        |          1 |          9 |          0 |          4 |         13 |
| src\layout\tabbar                                                      |          1 |        744 |          0 |         45 |        789 |
| src\router                                                             |          2 |        124 |          1 |          0 |        125 |
| src\store                                                              |          4 |        156 |         10 |          1 |        167 |
| src\store (Files)                                                      |          1 |          3 |          0 |          0 |          3 |
| src\store\modules                                                      |          3 |        153 |         10 |          1 |        164 |
| src\store\modules (Files)                                              |          2 |        124 |         10 |          1 |        135 |
| src\store\modules\types                                                |          1 |         29 |          0 |          0 |         29 |
| src\styles                                                             |          2 |        171 |          1 |         26 |        198 |
| src\utils                                                              |          1 |         42 |          4 |          1 |         47 |
| src\views                                                              |         21 |      5,172 |          1 |        369 |      5,542 |
| src\views\404                                                          |          1 |         21 |          0 |          4 |         25 |
| src\views\account                                                      |          8 |        785 |          0 |         64 |        849 |
| src\views\account (Files)                                              |          1 |        127 |          0 |          9 |        136 |
| src\views\account\blacklist                                            |          1 |         97 |          0 |          8 |        105 |
| src\views\account\coin                                                 |          1 |         65 |          0 |          5 |         70 |
| src\views\account\face                                                 |          3 |        192 |          0 |         20 |        212 |
