"filename", "language", "HTML", "TypeScript", "JSON with Comments", "YAML", "JSON", "CSS", "JavaScript", "Markdown", "Vue", "SCSS", "XML", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\DELL\Desktop\bilibili\.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 12, 3, 58
"c:\Users\DELL\Desktop\bilibili\.stylelintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 1, 53
"c:\Users\DELL\Desktop\bilibili\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 8, 19
"c:\Users\DELL\Desktop\bilibili\index.html", "HTML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\DELL\Desktop\bilibili\package.json", "JSON", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\DELL\Desktop\bilibili\pnpm-lock.yaml", "YAML", 0, 0, 0, 3265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488, 3753
"c:\Users\DELL\Desktop\bilibili\scripts\preinstall.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\DELL\Desktop\bilibili\sdk\lib\libffmpeg.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\DELL\Desktop\bilibili\sdk\lib\libffmpeg.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36863, 0, 1047, 37910
"c:\Users\DELL\Desktop\bilibili\sdk\neplayer_v2.8.5.css", "CSS", 0, 0, 0, 0, 0, 1426, 0, 0, 0, 0, 0, 0, 0, 258, 1684
